equipo,nombre,wiki_link,nacionalidad
Alianza,"Johan Wallens","{{bandera|COL}} [[Johan Wallens]]",COL
Alianza,"Juan Chaverra","{{bandera|COL}} [[Juan Camilo Chaverra|Juan Chaverra]]",COL
Alianza,"Antonio Simancas","{{bandera|COL}} [[Antonio Simancas]]",COL
Alianza,"Kevin Moreno","{{bandera|COL}} [[Kevin Moreno]]",COL
Alianza,"Kevin Aponzá","{{bandera|COL}} [[Kevin Aponzá]]",COL
Alianza,"Pedro Franco","{{bandera|COL}} [[Pedro Camilo Franco|Pedro Franco]]",COL
Alianza,"Yilson Rosales","{{bandera|COL}} [[Yilson Rosales]]",COL
Alianza,"Juan Viveros","{{bandera|COL}} [[Juan José Viveros|Juan Viveros]]",COL
Alianza,"Eduard Banguero","{{bandera|COL}} [[Eduard Banguero]]",COL
Alianza,"Jesús Figueroa","{{bandera|COL}} [[Jesús Figueroa (futbolista)|Jesús Figueroa]]",COL
Alianza,"Juan Arcila","{{bandera|COL}} [[Juan Pablo Arcila|Juan Arcila]]",COL
Alianza,"Ever Meza","{{bandera|COL}} [[Ever Meza]]",COL
Alianza,"Jair Castillo","{{bandera|COL}} [[Jair Castillo]]",COL
Alianza,"Wiston Fernández","{{bandera|URU}} [[Wiston Fernández]]",URU
Alianza,"Sergio Aponzá","{{bandera|COL}} [[Sergio Aponzá]]",COL
Alianza,"Charly Villegas","{{bandera|COL}} [[Charly Villegas]]",COL
Alianza,"Carlos Esparragoza","{{bandera|COL}} [[Carlos Esparragoza]]",COL
Alianza,"Luis Pérez","{{bandera|COL}} [[Luis Felipe Pérez|Luis Pérez]]",COL
Alianza,"Josy Pérez","{{bandera|COL}} [[Josy Pérez]]",COL
Alianza,"Yeiner Londoño","{{bandera|COL}} [[Yeiner Londoño]]",COL
Alianza,"Jhair Castillo","{{bandera|COL}} [[Jair Castillo]]",COL
Alianza,"Jesús Muñoz","{{bandera|COL}} [[Jesús Muñoz]]",COL
Alianza,"Cristian Vergara","{{bandera|COL}} [[Cristian Andrés Vergara|Cristian Vergara]]",COL
Alianza,"Felipe Pardo","{{bandera|COL}} [[Felipe Pardo]]",COL
Alianza,"Jeison Osorio","{{bandera|COL}} [[Jeison Osorio Cabrales|Jeison Osorio]]",COL
Alianza,"Carlos Lucumí","{{bandera|COL}} [[Carlos Lucumí]]",COL
Alianza,"Jhon Valoyes","{{bandera|COL}} [[Jhon Valoyes]]",COL
Alianza,"Sebastián Ramírez","{{bandera|COL}} [[Juan Sebastian Ramírez|Sebastián Ramírez]]",COL
Alianza,"Francesco Fiorelli","{{bandera|URU}} [[Francesco Fiorelli]]",URU
"América de Cali","Jean Fernandes","{{bandera|BRA}} [[Jean Paulo Fernandes Filho|Jean Fernandes]]",BRA
"América de Cali","Jorge Soto","{{bandera|COL}} [[Jorge Iván Soto|Jorge Soto]]",COL
"América de Cali","Alexis Sinisterra","{{bandera|COL}} [[Alexis Sinisterra]]",COL
"América de Cali","Jhon Palacios","{{bandera|COL}} [[Jhon Alexander Palacios Santos|Jhon Palacios]]",COL
"América de Cali","Marlon Torres","{{bandera|COL}} [[Marlon Torres]]",COL
"América de Cali","Dany Rosero","{{bandera|COL}} [[Dany Rosero]]",COL
"América de Cali","Andrés Mosquera","{{bandera|COL}} [[Andrés Mosquera Guardia|Andrés Mosquera]]",COL
"América de Cali","Mateo Castillo","{{bandera|COL}} [[Mateo Castillo]]",COL
"América de Cali","Marcos Mina","{{bandera|COL}} [[Marcos Mina]]",COL
"América de Cali","Brayan Correa","{{bandera|COL}} [[Brayan Correa (futbolista)|Brayan Correa]]",COL
"América de Cali","Nicolás Hernández","{{bandera|COL}} [[Nicolás Hernández Rodríguez|Nicolás Hernández]]",COL
"América de Cali","Ómar Bertel","{{bandera|COL}} [[Ómar Bertel]]",COL
"América de Cali","Josen Escobar","{{bandera|COL}} [[Josen Escobar]]",COL
"América de Cali","Dylan Borrero","{{bandera|COL}} [[Dylan Borrero]]",COL
"América de Cali","Yeison Guzmán","{{bandera|COL}} [[Yeison Guzmán]]",COL
